youthidCUF,classidCUF,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs
14790120,147901,3,0,0,4,4,0,4,1,4
14790121,147901,1,3,0,5,4,0,4,1,4
14790122,147901,1,5,0,2,3,0,2,2,3
14790123,147901,1,5,0,4,4,0,4,1,4
14790124,147901,1,4,0,2,3,0,1,3,3
14790125,147901,0,5,0,3,2,0,2,1,2
14790126,147901,1,3,0,3,3,0,3,1,3
14790127,147901,8,5,0,3,4,0,3,2,4
14790212,147902,6,5,0,1,2,0,1,2,2
14790213,147902,1,0,0,3,4,0,2,3,4
14790214,147902,3,3,0,3,5,0,3,2,5
14790215,147902,4,5,0,3,5,0,2,3,5
14790216,147902,1,1,0,3,5,0,3,2,5
14790217,147902,1,0,0,3,4,0,2,3,4
14790220,147902,4,5,0,2,5,0,1,4,5
14790221,147902,4,2,0,1,2,0,0,3,2
14790225,147902,1,5,0,1,5,0,1,4,5
14790226,147902,2,0,0,1,0,0,0,1,0
14840110,148401,1,1,0,2,1,0,0,2,1
14840111,148401,5,3,0,0,2,0,0,3,2
14840117,148401,1,3,0,2,4,0,1,4,4
14840118,148401,0,5,0,1,5,0,1,4,5
14840119,148401,3,2,0,3,5,0,3,2,5
14840122,148401,1,0,0,2,5,0,2,3,5
15130210,151302,3,3,0,4,5,0,1,4,5
15130211,151302,1,5,0,3,3,0,2,2,3
15130212,151302,1,5,0,3,5,0,2,3,5
15130213,151302,9,2,0,2,2,0,1,2,2
15130214,151302,0,5,0,4,5,0,4,1,5
15130215,151302,8,2,0,2,5,0,2,3,5
15130216,151302,0,5,0,3,5,0,1,4,5
15130218,151302,9,5,0,4,4,0,3,2,4
15130219,151302,7,3,0,3,3,0,3,1,3
15130220,151302,4,3,0,3,1,0,1,1,1
15130221,151302,3,3,0,3,3,0,1,3,3
15130222,151302,2,4,0,4,5,0,3,2,5
15130223,151302,1,5,0,2,4,0,2,3,4
15130224,151302,3,5,0,4,4,0,3,2,4
15130225,151302,1,5,0,3,2,0,1,2,2
15130226,151302,9,5,0,1,0,0,0,1,0
15130410,151304,1,5,0,2,5,0,2,3,5
15130411,151304,1,3,0,6,5,0,2,3,5
15130414,151304,2,3,0,3,5,0,3,2,5
15130415,151304,6,5,0,1,5,0,1,4,5
15130416,151304,5,2,0,2,5,0,1,4,5
15130418,151304,1,2,0,4,2,0,2,1,2
15130419,151304,4,4,0,7,5,0,3,2,5
15130420,151304,1,0,0,4,5,0,4,1,5
15130421,151304,1,2,0,5,4,0,4,1,4
15130422,151304,4,3,0,0,3,0,0,4,3
15130424,151304,2,0,0,0,5,0,0,5,5
15130425,151304,1,5,0,5,5,0,3,2,5
15130426,151304,3,3,0,4,4,0,2,3,4
15720110,157201,1,5,0,7,5,0,2,3,5
15720111,157201,1,5,0,3,5,0,2,3,5
15720112,157201,8,5,0,5,5,0,3,2,5
15720113,157201,5,4,0,3,4,0,1,4,4
15720114,157201,2,3,0,5,5,0,4,1,5
15720115,157201,1,5,0,2,4,0,2,3,4
15720116,157201,2,0,0,5,5,0,3,2,5
15720117,157201,1,2,0,6,4,0,3,2,4
15720210,157202,3,5,0,3,4,0,2,3,4
15720213,157202,4,5,0,1,3,0,0,4,3
15720214,157202,1,5,0,1,5,0,1,4,5
15720215,157202,1,4,0,1,2,0,1,2,2
15720216,157202,3,5,0,4,5,0,3,2,5
15720217,157202,3,2,0,3,3,0,2,2,3
15720218,157202,3,5,0,2,2,0,2,1,2
16620111,166201,14,3,0,4,4,0,3,2,4
16620112,166201,2,5,0,4,5,0,4,1,5
16620113,166201,1,4,0,5,5,0,4,1,5
16620114,166201,0,4,0,4,5,0,2,3,5
16620115,166201,0,5,0,2,1,0,1,1,1
16620116,166201,1,5,0,7,5,0,5,0,5
16620117,166201,0,3,0,3,3,0,1,3,3
16620118,166201,3,4,0,6,5,0,5,0,5
16620119,166201,4,4,0,0,5,0,0,5,5
16620120,166201,0,3,0,6,5,0,3,2,5
16620121,166201,1,5,0,4,5,0,2,3,5
16620122,166201,6,5,0,5,5,0,5,0,5
16620123,166201,0,4,0,6,4,0,4,1,4
16620124,166201,3,5,0,3,3,0,3,1,3
16620125,166201,4,5,0,6,5,0,5,0,5
16620126,166201,4,5,0,5,5,0,3,2,5
16620127,166201,14,4,0,2,5,0,2,3,5
16620128,166201,2,1,0,2,5,0,1,4,5
16620129,166201,2,2,0,3,2,0,1,2,2
16620130,166201,13,2,0,2,3,0,2,2,3
16620410,166204,7,1,0,1,4,0,1,4,4
16620411,166204,0,3,0,4,2,0,2,1,2
16620412,166204,0,1,0,4,5,0,2,3,5
16620413,166204,1,4,0,5,5,0,3,2,5
16620414,166204,0,4,0,3,5,0,2,3,5
16620415,166204,0,2,0,5,4,0,3,2,4
16620416,166204,0,1,0,2,5,0,2,3,5
16620419,166204,10,1,0,0,0,1,0,1,0
16620422,166204,0,3,0,5,5,0,2,3,5
16620426,166204,2,4,0,1,5,0,1,4,5
16620427,166204,1,0,0,5,5,0,3,2,5
16620429,166204,1,5,0,2,4,0,1,4,4
16620430,166204,7,1,0,1,4,0,1,4,4
17300212,173002,0,4,0,4,4,0,4,1,4
17300213,173002,9,4,0,0,1,0,0,2,1
17300215,173002,0,2,0,4,5,0,3,2,5
17300217,173002,2,4,0,2,2,0,1,2,2
17300219,173002,2,5,0,1,4,0,1,4,4
17300221,173002,0,0,1,4,3,0,3,1,3
17300222,173002,0,5,0,3,5,0,3,2,5
17300224,173002,1,4,0,3,2,0,2,1,2
17300510,173005,5,3,0,3,3,0,2,2,3
17300511,173005,1,3,0,3,5,0,2,3,5
17300512,173005,0,3,0,2,3,0,2,2,3
17300513,173005,0,1,0,5,3,0,3,1,3
17300515,173005,14,1,0,1,3,0,1,3,3
17300516,173005,0,2,0,5,5,0,4,1,5
17300518,173005,2,1,0,2,2,0,2,1,2
17300519,173005,2,5,0,2,3,0,2,2,3
17300520,173005,0,3,0,3,3,0,3,1,3
17300521,173005,1,1,0,7,5,0,5,0,5
17300522,173005,2,2,0,2,2,0,2,1,2
17300523,173005,2,1,0,7,5,0,5,0,5
17300524,173005,3,5,0,4,5,0,4,1,5
17300525,173005,1,1,0,5,5,0,4,1,5
17830111,178301,0,4,0,0,4,0,0,5,4
17830116,178301,1,5,0,4,5,0,2,3,5
17830118,178301,1,1,0,3,5,0,3,2,5
18500111,185001,1,5,0,3,2,0,2,1,2
18500112,185001,2,4,0,5,5,0,4,1,5
18500114,185001,6,2,0,2,5,0,1,4,5
18500115,185001,1,5,0,2,3,0,2,2,3
18500117,185001,0,5,0,4,5,0,4,1,5
18500118,185001,0,5,0,3,5,0,3,2,5
18500120,185001,4,1,0,2,2,0,2,1,2
18500121,185001,2,5,0,5,5,0,4,1,5
18500122,185001,4,5,0,3,5,0,3,2,5
18500123,185001,1,2,0,2,5,0,2,3,5
18500124,185001,0,1,0,6,5,0,5,0,5
18500125,185001,1,2,0,2,2,0,2,1,2
18560313,185603,4,5,0,2,4,0,2,3,4
18560316,185603,2,5,0,2,2,0,0,3,2
18560317,185603,0,4,0,1,2,0,1,2,2
18560318,185603,7,4,0,0,5,0,0,5,5
18560319,185603,4,5,0,1,3,0,1,3,3
18560325,185603,3,3,0,2,2,0,2,1,2
19860210,198602,2,5,0,4,3,0,1,3,3
19860211,198602,2,5,0,6,5,0,4,1,5
19860214,198602,0,5,0,1,3,0,1,3,3
19860215,198602,2,5,0,1,1,0,1,1,1
20320110,203201,0,3,0,5,3,0,3,1,3
20320112,203201,7,5,0,2,4,0,1,4,4
20320114,203201,1,5,0,5,4,0,2,3,4
20320115,203201,1,4,0,7,5,0,4,1,5
