youthidCUF,pos_outdegree,neg_outdegree,pos_indegree,neg_indegree,reciprocal,non_reciprocal,pos_isolate,neg_isolate
14110111,1,4,1,1,0,2,0,0
14110112,5,5,0,0,0,5,0,0
14110115,4,4,0,2,0,5,0,0
14110118,5,3,4,0,3,2,0,0
14110120,3,1,1,0,0,4,0,0
14390105,3,1,2,2,2,2,0,0
14390106,3,5,2,1,2,2,0,0
14390109,4,2,3,2,3,2,0,0
14390110,3,2,2,2,1,3,0,0
14390113,2,1,1,5,1,2,0,0
14390114,2,4,2,2,2,1,0,0
14390115,1,1,1,0,1,1,0,0
14390119,3,5,3,0,2,2,0,0
14390120,3,4,2,0,2,2,0,0
14390122,4,2,1,0,1,4,0,0
14390123,2,3,2,0,2,1,0,0
14390124,1,0,3,1,1,1,0,0
14690101,3,1,2,2,2,2,0,0
14690103,3,2,3,1,3,1,0,0
14690107,4,3,3,0,2,3,0,0
14690108,5,0,5,0,5,0,0,1
14690109,4,0,4,0,3,2,0,1
14690110,5,0,6,0,4,1,0,1
14690111,3,2,2,2,1,3,0,0
14690114,3,0,4,0,3,1,0,1
14690115,5,0,4,1,4,1,0,0
14690116,2,3,5,0,1,2,0,0
14690117,5,4,3,4,3,2,0,0
14690118,1,3,2,3,1,1,0,0
14690119,3,3,3,5,2,2,0,0
14690120,4,1,2,2,2,3,0,0
14690201,4,0,3,2,3,2,0,0
14690202,5,2,3,3,3,2,0,0
14690203,5,1,4,6,4,1,0,0
14690205,4,4,5,1,4,1,0,0
14690206,4,5,4,5,2,3,0,0
14690207,4,1,4,0,3,2,0,0
14690209,5,5,5,2,4,1,0,0
14690210,3,2,1,2,1,3,0,0
14690211,5,3,4,1,4,1,0,0
14690212,1,5,2,1,1,1,0,0
14690213,3,2,4,2,3,1,0,0
14690214,5,4,3,3,2,3,0,0
14690215,1,4,0,11,0,2,0,0
14690216,3,2,1,3,1,3,0,0
14690217,1,3,2,1,1,1,0,0
14690218,3,3,4,0,2,2,0,0
14790101,5,5,2,2,2,3,0,0
14790104,2,3,4,4,1,2,0,0
14790105,3,5,1,8,1,3,0,0
14790107,3,5,2,2,2,2,0,0
14790109,0,3,2,6,0,1,0,0
14790111,3,2,2,2,2,2,0,0
14790114,2,3,0,10,0,3,0,0
14790115,2,3,3,0,2,1,0,0
14790116,5,5,1,7,1,4,0,0
14790117,5,5,6,1,4,1,0,0
14790118,3,5,2,0,2,2,0,0
14790119,2,2,3,3,2,1,0,0
14790120,4,0,4,3,4,1,0,0
14790121,4,3,5,1,4,1,0,0
14790122,3,5,2,1,2,2,0,0
14790123,4,5,4,1,4,1,0,0
14790124,3,4,2,1,1,3,0,0
14790125,2,5,3,0,2,1,0,0
14790126,3,3,3,1,3,1,0,0
14790127,4,5,3,8,3,2,0,0
14790202,4,5,2,0,1,4,0,0
14790203,3,2,1,0,0,4,0,0
14790208,5,5,1,1,1,4,0,0
14790209,2,4,3,1,1,2,0,0
14790212,2,5,1,6,1,2,0,0
14790214,5,3,3,3,3,2,0,0
14790215,5,5,3,4,2,3,0,0
14790216,5,1,3,1,3,2,0,0
14790217,4,0,3,1,2,3,0,0
14790220,5,5,2,4,1,4,0,0
14790221,2,2,1,4,0,3,0,0
14790225,5,5,1,1,1,4,0,0
14840101,2,2,4,3,1,2,0,0
14840104,4,3,2,1,2,3,0,0
14840105,3,5,1,1,1,3,0,0
14840107,3,2,2,1,1,3,0,0
14840109,0,5,0,6,0,1,1,0
14840110,1,1,2,1,0,2,0,0
14840111,2,3,0,5,0,3,0,0
14840117,4,3,2,1,1,4,0,0
14840118,5,5,1,0,1,4,0,0
14840119,5,2,3,3,3,2,0,0
14840122,5,0,2,1,2,3,0,0
15130202,5,2,5,1,4,1,0,0
15130206,5,4,2,4,2,3,0,0
15130207,4,4,5,2,3,2,0,0
15130208,2,4,3,3,1,2,0,0
15130209,5,5,1,7,0,5,0,0
15130210,5,3,4,3,1,4,0,0
15130211,3,5,3,1,2,2,0,0
15130212,5,5,3,1,2,3,0,0
15130213,2,2,2,9,1,2,0,0
15130214,5,5,4,0,4,1,0,0
15130215,5,2,2,8,2,3,0,0
15130216,5,5,3,0,1,4,0,0
15130218,4,5,4,9,3,2,0,0
15130219,3,3,3,7,3,1,0,0
15130220,1,3,3,4,1,1,0,0
15130221,3,3,3,3,1,3,0,0
15130222,5,4,4,2,3,2,0,0
15130223,4,5,2,1,2,3,0,0
15130224,4,5,4,3,3,2,0,0
15130225,2,5,3,1,1,2,0,0
15130226,0,5,1,9,0,1,0,0
15130401,5,1,3,1,2,3,0,0
15130405,4,5,1,1,1,4,0,0
15130406,5,4,3,2,3,2,0,0
15130408,5,5,5,3,2,3,0,0
15130409,4,5,2,2,1,4,0,0
15130410,5,5,2,1,2,3,0,0
15130411,5,3,6,1,2,3,0,0
15130414,5,3,3,2,3,2,0,0
15130415,5,5,1,6,1,4,0,0
15130416,5,2,2,5,1,4,0,0
15130418,2,2,4,1,2,1,0,0
15130419,5,4,7,4,3,2,0,0
15130420,5,0,4,1,4,1,0,0
15130421,4,2,5,1,4,1,0,0
15130422,3,3,0,4,0,4,0,0
15130424,5,0,0,2,0,5,0,0
15130425,5,5,5,1,3,2,0,0
15130426,4,3,4,3,2,3,0,0
15130428,5,0,7,0,4,1,0,1
15720102,5,5,5,5,4,1,0,0
15720103,5,4,5,1,4,1,0,0
15720104,5,3,4,1,4,1,0,0
15720105,5,5,1,9,1,4,0,0
15720108,5,5,3,7,3,2,0,0
15720109,3,5,2,8,2,2,0,0
15720110,5,5,7,1,2,3,0,0
15720111,5,5,3,1,2,3,0,0
15720112,5,5,5,8,3,2,0,0
15720113,4,4,3,5,1,4,0,0
15720114,5,3,5,2,4,1,0,0
15720115,4,5,2,1,2,3,0,0
15720117,4,2,6,1,3,2,0,0
15720203,3,4,2,0,1,3,0,0
15720204,2,1,1,4,0,3,0,0
15720205,1,4,0,5,0,2,0,0
15720207,5,4,2,3,2,3,0,0
15720210,4,5,3,3,2,3,0,0
15720213,3,5,1,4,0,4,0,0
15720214,5,5,1,1,1,4,0,0
15720215,2,4,1,1,1,2,0,0
15720216,5,5,4,3,3,2,0,0
15720217,3,2,3,3,2,2,0,0
15720218,2,5,2,3,2,1,0,0
16620101,5,5,5,4,5,0,0,0
16620103,5,5,4,4,4,1,0,0
16620104,4,1,5,2,3,2,0,0
16620105,4,1,8,1,3,2,0,0
16620108,5,5,4,4,2,3,0,0
16620109,5,5,1,7,1,4,0,0
16620111,4,3,4,14,3,2,0,0
16620112,5,5,4,2,4,1,0,0
16620113,5,4,5,1,4,1,0,0
16620114,5,4,4,0,2,3,0,0
16620115,1,5,2,0,1,1,0,0
16620116,5,5,7,1,5,0,0,0
16620117,3,3,3,0,1,3,0,0
16620118,5,4,6,3,5,0,0,0
16620119,5,4,0,4,0,5,0,0
16620120,5,3,6,0,3,2,0,0
16620121,5,5,4,1,2,3,0,0
16620122,5,5,5,6,5,0,0,0
16620123,4,4,6,0,4,1,0,0
16620124,3,5,3,3,3,1,0,0
16620125,5,5,6,4,5,0,0,0
16620126,5,5,5,4,3,2,0,0
16620127,5,4,2,14,2,3,0,0
16620128,5,1,2,2,1,4,0,0
16620129,2,2,3,2,1,2,0,0
16620130,3,2,2,13,2,2,0,0
16620402,3,5,2,0,2,2,0,0
16620404,5,5,6,0,4,1,0,0
16620405,5,3,3,0,2,3,0,0
16620406,5,3,4,0,3,2,0,0
16620409,4,3,2,5,2,3,0,0
16620410,4,1,1,7,1,4,0,0
16620411,2,3,4,0,2,1,0,0
16620412,5,1,4,0,2,3,0,0
16620413,5,4,5,1,3,2,0,0
16620414,5,4,3,0,2,3,0,0
16620415,4,2,5,0,3,2,0,0
16620416,5,1,2,0,2,3,0,0
16620419,0,1,0,10,0,1,1,0
16620422,5,3,5,0,2,3,0,0
16620426,5,4,1,2,1,4,0,0
16620427,5,0,5,1,3,2,0,0
16620429,4,5,2,1,1,4,0,0
16620430,4,1,1,7,1,4,0,0
17300201,5,3,7,0,4,1,0,0
17300202,3,1,1,8,1,3,0,0
17300203,2,2,1,0,1,2,0,0
17300204,4,5,2,2,2,3,0,0
17300205,4,5,3,1,3,2,0,0
17300207,5,5,1,1,1,4,0,0
17300208,2,3,2,9,1,2,0,0
17300209,5,5,5,1,4,1,0,0
17300212,4,4,4,0,4,1,0,0
17300213,1,4,0,9,0,2,0,0
17300215,5,2,4,0,3,2,0,0
17300217,2,4,2,2,1,2,0,0
17300219,4,5,1,2,1,4,0,0
17300221,3,0,4,0,3,1,0,1
17300222,5,5,3,0,3,2,0,0
17300224,2,4,3,1,2,1,0,0
17300501,5,4,2,1,2,3,0,0
17300503,1,5,3,2,1,1,0,0
17300504,5,1,4,1,1,4,0,0
17300505,3,0,4,2,2,2,0,0
17300506,5,1,3,3,3,2,0,0
17300507,2,5,1,9,1,2,0,0
17300508,5,4,4,2,4,1,0,0
17300509,5,3,4,0,3,2,0,0
17300510,3,3,3,5,2,2,0,0
17300511,5,3,3,1,2,3,0,0
17300512,3,3,2,0,2,2,0,0
17300513,3,1,5,0,3,1,0,0
17300515,3,1,1,14,1,3,0,0
17300516,5,2,5,0,4,1,0,0
17300518,2,1,2,2,2,1,0,0
17300519,3,5,2,2,2,2,0,0
17300520,3,3,3,0,3,1,0,0
17300521,5,1,7,1,5,0,0,0
17300522,2,2,2,2,2,1,0,0
17300523,5,1,7,2,5,0,0,0
17300524,5,5,4,3,4,1,0,0
17300525,5,1,5,1,4,1,0,0
17830101,5,0,4,1,4,1,0,0
17830103,2,3,0,0,0,3,0,0
17830104,3,2,4,1,2,2,0,0
17830105,0,1,1,1,0,1,0,0
17830107,2,1,2,3,1,2,0,0
17830108,5,1,4,0,3,2,0,0
17830109,5,2,3,2,1,4,0,0
17830111,4,4,0,0,0,5,0,0
17830116,5,5,4,1,2,3,0,0
17830118,5,1,3,1,3,2,0,0
18500101,5,5,2,2,2,3,0,0
18500102,5,5,4,0,3,2,0,0
18500104,3,2,3,0,3,1,0,0
18500105,3,5,3,3,3,1,0,0
18500106,3,5,3,6,3,1,0,0
18500111,2,5,3,1,2,1,0,0
18500112,5,4,5,2,4,1,0,0
18500114,5,2,2,6,1,4,0,0
18500115,3,5,2,1,2,2,0,0
18500117,5,5,4,0,4,1,0,0
18500118,5,5,3,0,3,2,0,0
18500120,2,1,2,4,2,1,0,0
18500121,5,5,5,2,4,1,0,0
18500122,5,5,3,4,3,2,0,0
18500123,5,2,2,1,2,3,0,0
18500124,5,1,6,0,5,0,0,0
