youthidCUF,classidCUF.x,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_sat1,y1_pbsch1,y1_pbsch2,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_date,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_migage,y1_educm3,y1_educf3,y1_gradem_geCUF,y1_gradesc_geCUF,y1_gradee_geCUF,y1_repeat,y1_iseimG,y1_iseifG,y1_edasp1CS,y1_edasp2CS,y1_edasp3CS,y1_sspm,y1_sspsc,y1_sspe,y1_seff1,y1_seff2,y1_valed1,y1_asch2,y1_asch1,y1_tenc1,y1_tenc2,y1_tenc3,y1_idsc,y1_club,y1_generationGCUF,class_size,classidCUF.y,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs,classidCUF,y1_cot_sum,y1_lat_sum
10480111,104801,1048,1,1,1995,1,4,5,5,4,3,9,10,5,5,3,3,4,4,2,1,4,1,4,3,1,3,4,3,1,1,1,3,3,2,-77,2,2,1,1,1,1,28.479999542236328,29.15999984741211,7,7,6,2,3,4,2,2,1,2,4,3,3,4,2,1,0,17,104801,4,4,0,1,2,0,1,2,2,104801,21,8
10480113,104801,1048,1,1,1995,1,5,4,4,4,4,5,9,4,5,4,4,4,3,1,2,4,2,3,3,2,4,4,4,2,2,2,4,4,4,-77,2,2,1,1,1,1,23.8799991607666,27.90999984741211,8,8,7,4,1,2,1,2,1,1,4,1,2,2,1,2,0,17,104801,0,4,0,2,5,0,2,3,5,104801,14,16
10480116,104801,1048,1,2,1994,1,5,5,5,5,4,8,9,5,4,4,4,4,3,2,3,3,4,1,1,5,2,4,1,3,3,5,4,5,4,-77,2,2,1,2,1,2,14.210000038146973,22.56999969482422,7,7,7,5,3,2,2,2,1,1,5,2,2,3,1,1,2,17,104801,0,5,0,5,5,0,4,1,5,104801,20,15
10480117,104801,1048,1,2,1996,1,4,4,3,3,3,5,5,4,4,4,3,4,3,1,2,3,2,3,3,4,3,2,2,2,2,2,2,3,2,-77,2,-99,1,1,1,1,29.469999313354492,43.33000183105469,8,7,7,3,3,3,2,1,1,2,5,3,2,2,1,1,0,17,104801,2,4,0,1,4,0,1,4,4,104801,22,10
10480118,104801,1048,1,2,1995,1,3,3,3,3,3,5,7,5,4,4,3,4,3,1,3,2,3,3,3,2,3,3,3,2,2,2,2,3,2,-77,-99,2,1,2,1,1,79.73999786376953,33.7599983215332,7,7,7,2,3,3,3,2,2,2,4,4,4,2,1,2,0,17,104801,0,5,0,5,5,0,4,1,5,104801,24,7
10480119,104801,1048,1,2,1995,3,4,4,4,4,3,7,3,5,5,4,4,4,3,2,3,2,3,3,2,4,2,3,3,3,3,4,4,1,3,5,2,2,1,1,1,2,14.210000038146973,25.950000762939453,7,7,7,3,2,3,1,2,1,1,5,2,3,2,3,2,1,17,104801,2,4,0,3,2,0,2,1,2,104801,15,7
10480120,104801,1048,1,2,1995,1,4,3,3,3,4,7,7,5,4,4,4,3,4,2,3,3,2,4,3,3,2,4,2,3,2,3,4,5,4,-77,2,2,1,1,1,1,32.20000076293945,61.18000030517578,7,7,-99,3,2,3,2,2,1,2,5,2,3,5,1,2,0,17,104801,5,5,0,4,4,0,3,2,4,104801,19,12
10480121,104801,1048,1,2,1995,3,3,4,3,3,4,6,8,5,4,4,4,4,4,2,2,4,2,4,3,2,3,4,4,2,2,2,3,3,2,-77,2,2,1,2,3,1,-88,30.489999771118164,7,-99,7,3,3,3,2,1,1,1,5,1,2,4,2,2,2,17,104801,1,4,0,4,3,0,3,1,3,104801,16,6
10480122,104801,1048,1,2,1995,1,4,4,3,3,4,6,5,5,4,3,4,4,3,2,2,3,3,3,3,3,5,4,3,1,1,1,3,2,2,-77,2,-99,1,1,3,1,47.83000183105469,-88,8,7,7,3,1,3,2,2,3,2,4,1,3,5,1,2,0,17,104801,0,5,0,6,5,0,4,1,5,104801,13,7
10480123,104801,1048,1,2,1995,1,5,4,4,4,4,6,9,5,5,3,2,2,3,2,2,3,2,4,3,3,4,5,5,2,1,1,3,5,3,-77,2,-99,1,1,1,1,61.90999984741211,21.81999969482422,8,7,7,2,2,2,1,1,1,1,4,2,3,2,1,2,0,17,104801,0,5,0,2,5,0,2,3,5,104801,22,13
10480211,104802,1048,1,2,1995,3,3,4,4,3,4,5,3,4,4,4,3,3,3,1,3,4,3,4,4,3,1,5,4,2,1,3,5,5,5,-77,2,2,1,1,1,3,24.979999542236328,22.75,9,-99,7,2,3,2,2,1,1,3,4,2,3,1,4,1,2,15,104802,9,4,0,2,3,0,2,2,3,104802,22,9
10480212,104802,1048,1,2,1995,1,5,5,3,3,4,4,6,5,4,3,2,4,3,2,4,2,4,3,2,5,1,2,1,4,2,4,1,1,1,-77,2,2,2,1,2,2,29.469999313354492,43.189998626708984,7,7,7,4,3,3,2,2,1,1,4,1,4,5,1,1,0,15,104802,1,4,0,2,2,0,2,1,2,104802,23,4
10480213,104802,1048,1,2,1995,3,3,5,4,5,4,9,5,5,5,3,3,4,4,2,3,2,2,3,4,2,3,3,3,2,1,2,3,5,2,-77,2,2,2,1,2,1,14.210000038146973,25.450000762939453,7,7,7,3,4,2,2,2,1,1,5,1,1,5,4,2,2,15,104802,1,4,0,5,4,0,2,3,4,104802,22,7
10480214,104802,1048,1,2,1996,1,4,-88,-88,-88,4,4,3,5,4,4,4,4,4,2,4,4,3,4,3,3,2,4,3,2,2,3,4,5,2,-77,2,2,2,1,2,1,26.639999389648438,36.349998474121094,7,7,7,4,3,4,2,2,2,2,5,3,2,5,1,1,0,15,104802,0,5,0,2,2,0,2,1,2,104802,20,5
10480215,104802,1048,1,2,1995,1,4,4,3,3,4,7,4,4,4,4,4,4,3,1,3,3,4,3,3,4,4,4,4,2,3,3,2,3,3,-77,2,2,2,1,1,1,24.979999542236328,24.979999542236328,9,7,8,3,2,2,1,1,1,2,4,2,3,1,2,1,0,15,104802,5,5,0,2,2,0,2,1,2,104802,19,13
10480216,104802,1048,1,2,1996,3,4,4,4,4,3,7,7,-88,-88,4,4,4,4,2,2,3,2,3,3,2,4,2,2,1,1,2,2,4,1,-77,2,2,1,1,1,1,14.210000038146973,19.079999923706055,8,8,8,1,2,2,2,2,2,1,4,2,2,4,2,2,2,15,104802,0,3,0,1,2,0,1,2,2,104802,19,8
10480217,104802,1048,1,2,1995,1,3,3,2,2,4,10,10,5,5,4,4,4,4,2,1,4,1,4,4,1,5,5,5,1,1,1,5,5,5,-77,2,2,1,1,2,1,14.210000038146973,28.239999771118164,8,7,7,1,4,4,2,2,1,2,5,2,2,5,1,2,0,15,104802,5,5,0,2,3,0,2,2,3,104802,24,14
10480218,104802,1048,1,2,1995,1,4,4,4,3,4,8,7,2,4,4,4,4,3,1,4,2,4,3,2,3,2,3,2,2,3,3,2,3,4,-77,2,2,3,3,3,2,28.479999542236328,27.299999237060547,7,7,7,3,3,3,1,2,1,3,1,2,3,2,2,2,0,15,104802,1,3,0,1,2,0,1,2,2,104802,22,12
10480219,104802,1048,1,2,1996,1,5,5,5,5,3,8,10,5,3,4,4,4,4,2,3,4,1,4,3,2,5,5,5,2,1,2,3,3,2,-77,2,2,1,1,2,1,-88,25.950000762939453,7,6,6,3,3,3,2,2,1,2,3,2,3,4,1,2,2,15,104802,1,5,0,2,5,0,2,3,5,104802,17,6
10480220,104802,1048,1,2,1995,3,3,4,3,3,4,10,10,5,5,4,4,4,4,1,3,2,4,3,3,3,2,4,4,2,2,2,4,2,1,-77,2,2,1,1,1,2,-88,28.530000686645508,9,9,7,3,2,2,1,2,1,1,5,1,2,5,1,2,2,15,104802,0,4,0,2,2,0,1,2,2,104802,19,5
10480221,104802,1048,1,2,1995,3,3,3,4,3,4,3,5,5,5,4,4,4,3,1,2,1,2,3,4,2,2,3,4,1,1,2,1,2,1,-77,2,2,2,1,3,2,-88,19.079999923706055,8,7,8,3,3,3,2,1,1,1,4,2,2,4,4,2,2,15,104802,0,3,0,2,2,0,1,2,2,104802,17,5
11520110,115201,1152,3,1,1994,1,3,3,3,3,3,1,4,1,1,4,4,4,2,2,4,2,4,2,2,4,3,3,2,4,4,4,2,2,2,-77,1,-99,3,3,3,3,-88,-88,8,7,9,3,3,3,2,2,2,4,4,4,5,2,3,2,2,21,115201,14,3,0,2,2,0,2,1,2,115201,16,10
11520111,115201,1152,3,1,1996,1,4,4,5,4,4,5,9,5,5,4,4,4,4,2,3,3,3,4,4,1,5,1,4,1,1,1,4,2,3,-77,2,2,1,2,1,1,28.479999542236328,14.210000038146973,9,9,9,1,2,2,1,1,1,1,4,3,4,4,-88,1,2,21,115201,0,3,0,7,4,0,3,2,4,115201,22,17
