ISEI_parent,cog_abil,sch_satisfaction,class_size,age,schooltype,immigrant,youthidCUF,classidCUF,schoolidCUF,pos_indegree,pos_outdegree,pos_isolate,neg_indegree,neg_outdegree,neg_isolate,reciprocal,non_reciprocal,german,sch_combo,sch_int,sch_comp,sch_secondary,sch_specneed,sexgirl
-0.9699494421788908,-0.22002956961250858,7,0.3138238185226491,-1.0068622123632807,4,0,18500112,185001,1850,5,5,0,2,4,0,4,1,1,0,0,1,0,0,0
0.5546333290458291,-0.6728176922035379,5,0.3138238185226491,0.4087141829980414,4,0,18500114,185001,1850,2,5,0,6,2,0,1,4,1,0,0,1,0,0,0
0.5049763175163476,-0.6728176922035379,5,0.3138238185226491,0.4087141829980414,4,0,18500115,185001,1850,2,3,0,1,5,0,2,2,0,0,0,1,0,0,1
0.8486701241813274,0.83647604976656,6,0.3138238185226491,-1.0068622123632807,4,0,18500117,185001,1850,4,5,0,0,5,0,4,1,1,0,0,1,0,0,0
-0.6734021061296818,0.2327585529785208,7,0.3138238185226491,-1.0068622123632807,4,0,18500118,185001,1850,3,5,0,0,5,0,3,2,1,0,0,1,0,0,0
-0.12661664973462664,0.83647604976656,9,0.3138238185226491,0.4087141829980414,4,0,18500120,185001,1850,2,2,0,4,1,0,2,1,1,0,0,1,0,0,1
0.06475837972550814,-2.1821114341736356,3,0.3138238185226491,-1.0068622123632807,4,0,18500121,185001,1850,5,5,0,2,5,0,4,1,1,0,0,1,0,0,0
-0.9961728939101832,-0.6728176922035379,7,0.3138238185226491,0.4087141829980414,4,0,18500122,185001,1850,3,5,0,4,5,0,3,2,1,0,0,1,0,0,0
-0.9903144507509178,-1.276535188991577,5,0.3138238185226491,-1.0068622123632807,4,0,18500123,185001,1850,2,5,0,1,2,0,2,3,1,0,0,1,0,0,0
-0.9456788935168835,0.5346173013725404,9,0.3138238185226491,0.4087141829980414,4,0,18500124,185001,1850,6,5,0,0,1,0,5,0,1,0,0,1,0,0,1
0.9451943617266231,-0.3709589438095184,9,0.3138238185226491,0.4087141829980414,4,0,18500125,185001,1850,2,2,0,1,2,0,2,1,1,0,0,1,0,0,1
-1.0714953734633645,-1.1256058147945673,7,-1.6925766058147294,0.4087141829980414,1,0,18560305,185603,1856,3,4,0,3,5,0,1,4,1,0,0,0,0,0,0
-0.04125112856625614,0.9874054239635698,7,-1.6925766058147294,1.8242905783593635,1,0,18560306,185603,1856,1,5,0,1,5,0,1,4,1,0,0,0,0,0,0
-1.1777837538870595,0.2327585529785208,8,-1.6925766058147294,1.8242905783593635,1,0,18560307,185603,1856,2,4,0,2,5,0,2,3,1,0,0,0,0,0,0
